band_value,soil_code,description
0,NODATA,
1,FL797579,Udorthents-Urban land complex
2,FL797574,"Pennekamp gravelly muck, 0-2 percent slopes, extremely stony"
3,FL631577,Biscayne marl
4,FL631576,Perrine marl
5,FL631570,Pennsuco marl
6,FL631593,"Pennsuco marl, tidal"
7,FL631589,"Perrine marl, tidal"
8,FL631588,Biscayne marl-Rock outcrop complex
9,FL631580,"Biscayne marl, drained"
10,FL631572,Krome very gravelly loam
11,FL631586,Chekika very gravelly loam
12,FL1413480,"Urban land-Aquents complex, organic substratum"
13,FL1413485,"Durbin and Wulfert mucks, frequently flooded"
14,FL631599,Rock outcrop-Vizcaya-Biscayne complex
15,FL631571,"Perrine marl, drained"
16,FL1413465,"Oldsmar fine sand, 0 to 2 percent slopes"
17,FL1413455,"Holopaw fine sand, limestone substratum"
18,FL1413466,"Basinger fine sand, 0 to 2 percent slopes"
19,FL1413472,"Boca, Riviera, limestone substratum, and Copeland fine sands, depressional"
20,FL1413490,Pennsuco silt loam
21,FL1413494,"Kesson muck, frequently flooded"
22,FL1413463,"Pineda fine sand, limestone substratum"
23,FL1413493,Ochopee fine sandy loam
24,FL1413477,Urban land
25,FL1413491,Hallandale and Boca fine sands
26,FL1413492,"Ochopee fine sandy loam, low"
27,FL631579,Urban land
28,FL1413473,"Holopaw fine sand, 0 to 2 percent slopes"
29,FL1413458,"Riviera, limestone substratum-Copeland fine sands"
30,FL1413483,Urban land-Matlacha-Boca complex
31,FL1413456,"Malabar fine sand, 0 to 2 percent slopes"
32,FL1413478,Urban land-Holopaw-Basinger complex
33,FL1413467,"Riviera fine sand, limestone substratum"
34,FL1413462,Hallandale fine sand
35,FL631575,"Udorthents, marl substratum-Urban land complex"
36,FL1413459,"Immokalee fine sand, 0 to 2 percent slopes"
37,FL631582,"Tamiami muck, depressional"
38,FL1413469,"Boca fine sand, 0 to 2 percent slopes"
39,FL631590,Demory sandy clay loam-Rock outcrop complex
40,FL1483420,Wulfert muck
41,FL1483425,"Immokalee sand, 0 to 2 percent slopes"
42,FL1483451,Hallandale fine sand
43,FL1483424,"Pompano fine sand, depressional"
44,FL1413461,"Oldsmar fine sand, limestone substratum"
